,weilun01_3_2,weilun01_5_2,weilun01_10_2,weilun01_20_2,weilun01_50_2,weilun01_100_2,weilun01_200_2,weilun01_300_2,weilun01_3_1,weilun01_5_1,weilun01_10_1,weilun01_20_1,weilun01_50_1,weilun01_100_1,weilun01_200_1,weilun01_300_1,weilun01_3_0.7,weilun01_5_0.7,weilun01_10_0.7,weilun01_20_0.7,weilun01_50_0.7,weilun01_100_0.7,weilun01_200_0.7,weilun01_300_0.7,weilun01_3_0.3,weilun01_5_0.3,weilun01_10_0.3,weilun01_20_0.3,weilun01_50_0.3,weilun01_100_0.3,weilun01_200_0.3,weilun01_300_0.3
weilun01_10_0.7,,,0.2998158224877352,0.36436905303769274,0.37664481039302744,0.37770452751209266,0.38689087829216395,0.3574391481757921,0.5943000246523867,0.698036741345472,0.7689152797815073,0.764024534539219,0.7075778904746776,0.6462782343219221,0.6348174657010923,0.6194630408111843,0.6745392990693551,0.7769772708281372,1.0,0.7996203447257296,0.7892278171855344,0.7473547208210294,0.7448506474397814,0.7226397791991491,0.6873712587816909,0.7083020612814691,0.7280667654553453,0.7311353077484846,0.7323620442741746,0.7225647441748364,0.7405446472371041,0.7283108934294814
weilun01_20_0.7,,,0.2969705106104942,0.36961808352490705,0.3805190437244191,0.3824127462905405,0.3927682841038021,0.37749399870777284,0.5586997630075455,0.6759501519560577,0.7388540141936687,0.7876184556637902,0.7648001682481831,0.6922878677278422,0.7001651297629002,0.6631630871360239,0.6328048806006792,0.7259840232500945,0.7996203447257296,1.0,0.8622058529717724,0.8359643353431674,0.8173198766371431,0.7624106788098852,0.6403825869235482,0.6665089905439397,0.7198483403887888,0.7156123652437179,0.7343527258983088,0.7304868796235691,0.7542673110210389,0.7612085694961631
weilun01_50_0.7,,,0.3156797426984566,0.38323748367223043,0.39598831141338114,0.397274730704036,0.4068342217238522,0.3756242673359729,0.578464736017099,0.7106684060790277,0.7369468508258918,0.7847115693031681,0.7706871603065897,0.7462337600691135,0.7359034720905167,0.7101395133059584,0.663718083178417,0.7297789206869965,0.7892278171855344,0.8622058529717724,1.0,0.9033346386863443,0.8706080384997269,0.8083648797109907,0.6485889887778176,0.6710540030931998,0.7227329016861389,0.7374842105664232,0.7254034030269689,0.7340761399062653,0.7587522229378532,0.7650045153754341
weilun01_100_0.7,,,0.28652791877051104,0.37071494640192604,0.38155126950892093,0.38262479130171445,0.3951897365895733,0.37841123341549016,0.5478013984649331,0.6643722159558841,0.7074841186232517,0.7851931266942658,0.7886598134870216,0.7710124767348064,0.7491307116275584,0.7219644684650058,0.6203114050634677,0.6966375610360486,0.7473547208210294,0.8359643353431674,0.9033346386863443,1.0,0.9238111038904457,0.8575312707065639,0.6214179917527466,0.6475043756436178,0.6834290476497683,0.6982028911425623,0.7031747109047354,0.699472994766464,0.725259526861178,0.7250489906929373
weilun01_200_0.7,,,0.29288091351695344,0.3958683999802912,0.38865995697658473,0.39012537951141296,0.4027098817415069,0.38508209865692844,0.5411771285110626,0.6679321731415385,0.6998061993856581,0.7887570562459368,0.8022154809586577,0.8053811545653383,0.7624172512445717,0.734243490576604,0.6067631265118908,0.6940791706234801,0.7448506474397814,0.8173198766371431,0.8706080384997269,0.9238111038904457,1.0,0.9165184595136371,0.6148171945250651,0.6213202715381093,0.6821681377782652,0.6967120858441461,0.6878491713031697,0.6842281332615229,0.7096084902911111,0.7030325639261946
weilun01_300_0.7,,,0.3221635610643866,0.4218512347602054,0.4164309271338585,0.4174601808890066,0.4293924788535061,0.3934540160596587,0.5100061854796382,0.6401729556413656,0.7067078030295199,0.7869645883468909,0.8000550143577919,0.8227504744451313,0.7897176391228004,0.7616869059240663,0.5766725502444382,0.6657552507949882,0.7226397791991491,0.7624106788098852,0.8083648797109907,0.8575312707065639,0.9165184595136371,1.0,0.599957042871516,0.5996833693329106,0.6574254874697106,0.6519311179925518,0.6620837603731916,0.66548197214241,0.6848542860868726,0.6707614411684546
weilun01_3_0.3,,,0.23946772267947244,0.2946044011291577,0.27999520631235814,0.28108742876705767,0.2877421787388419,0.26541385094853354,0.6814043101249142,0.6265767585244918,0.5763369742249758,0.5731548166305374,0.5572448185708307,0.5273281992057002,0.5200225005476173,0.5085544310260545,0.8713285214692656,0.7507113684795296,0.6873712587816909,0.6403825869235482,0.6485889887778176,0.6214179917527466,0.6148171945250651,0.599957042871516,1.0,0.8171873792811839,0.7751889718201681,0.7673419529381965,0.7386173119132446,0.7435585952806159,0.7451729003070487,0.7316360139064598
weilun01_5_0.3,,,0.22411817800001002,0.27733854525327384,0.284917595686376,0.28698281551781696,0.2943646741048648,0.2819915504338527,0.5919861068144561,0.6029575109695117,0.563325969366962,0.5670870057059874,0.5364841282448387,0.5028382050365561,0.5083466954479668,0.49455679497577787,0.7438419488351082,0.716801840599622,0.7083020612814691,0.6665089905439397,0.6710540030931998,0.6475043756436178,0.6213202715381093,0.5996833693329106,0.8171873792811839,1.0,0.8098420673876908,0.772900642039222,0.7553548295925373,0.7607753001503739,0.7559996418859866,0.747346340568982
weilun01_10_0.3,,,0.219666341165817,0.28420824135052475,0.3071241765344674,0.30795328788351456,0.3029718146678865,0.30539676126129883,0.5891530407754202,0.5839433486220323,0.5710837890197452,0.5874160332619512,0.567671403502382,0.5521712035194266,0.5423817108898179,0.5132732948519141,0.6954564976242834,0.6963896524027475,0.7280667654553453,0.7198483403887888,0.7227329016861389,0.6834290476497683,0.6821681377782652,0.6574254874697106,0.7751889718201681,0.8098420673876908,1.0,0.8535374827920446,0.8146531493812432,0.8002121965000278,0.8073000088932591,0.7913730608041883
weilun01_20_0.3,,,0.22368105178953998,0.27480321694391957,0.2817713272577009,0.2829542678475975,0.27947688327502923,0.278279956839169,0.6033929213494394,0.6103604533396341,0.5918005951023066,0.5794907830059322,0.566993965122477,0.559211571897865,0.5492849505463739,0.5274503247298964,0.7181616708421966,0.7158023154515699,0.7311353077484846,0.7156123652437179,0.7374842105664232,0.6982028911425623,0.6967120858441461,0.6519311179925518,0.7673419529381965,0.772900642039222,0.8535374827920446,1.0,0.8710655792004278,0.8407624237352979,0.8372976812360337,0.8163137393378437
