timestamp,returns
2023-05-27,13.4
2023-05-28,12.8
2023-05-29,12.8
2023-05-30,14.6
2023-05-31,14.2
2023-06-01,14.0
2023-06-02,13.4
2023-06-03,11.6
2023-06-04,9.0
2023-06-05,7.8
2023-06-06,9.6
2023-06-07,12.0
2023-06-08,14.8
2023-06-09,18.2
2023-06-10,20.6
2023-06-11,21.4
2023-06-12,21.6
2023-06-13,21.2
2023-06-14,18.8
2023-06-15,15.6
2023-06-16,13.8
2023-06-17,13.0
2023-06-18,13.2
2023-06-19,14.8
2023-06-20,17.8
2023-06-21,19.4
2023-06-22,19.8
2023-06-23,19.0
2023-06-24,17.8
2023-06-25,15.8
2023-06-26,14.0
2023-06-27,13.2
2023-06-28,14.0
2023-06-29,16.2
2023-06-30,18.0
2023-07-01,17.0
2023-07-02,14.4
2023-07-03,10.6
2023-07-04,7.6
2023-07-05,5.8
2023-07-06,8.6
2023-07-07,12.2
2023-07-08,16.0
2023-07-09,17.6
2023-07-10,18.6
2023-07-11,17.2
2023-07-12,16.0
2023-07-13,13.6
2023-07-14,10.8
2023-07-15,8.6
2023-07-16,6.6
2023-07-17,6.6
2023-07-18,7.4
2023-07-19,9.8
2023-07-20,12.0
2023-07-21,13.2
2023-07-22,12.2
2023-07-23,11.8
2023-07-24,12.8
2023-07-25,13.4
2023-07-26,15.2
2023-07-27,16.0
2023-07-28,15.8
2023-07-29,13.2
2023-07-30,10.6
2023-07-31,9.0
2023-08-01,9.8
2023-08-02,11.8
2023-08-03,15.0
2023-08-04,18.0
2023-08-05,20.0
2023-08-06,19.4
2023-08-07,16.6
2023-08-08,15.0
2023-08-09,14.6
2023-08-10,13.2
2023-08-11,12.0
2023-08-12,12.8
2023-08-13,12.6
2023-08-14,11.8
2023-08-15,12.6
2023-08-16,15.4
2023-08-17,18.0
2023-08-18,19.4
2023-08-19,18.6
2023-08-20,16.4
2023-08-21,12.8
2023-08-22,12.0
2023-08-23,11.8
2023-08-24,13.0
2023-08-25,14.8
2023-08-26,16.2
2023-08-27,16.2
2023-08-28,14.6
2023-08-29,14.0
2023-08-30,14.4
2023-08-31,16.2
2023-09-01,16.2
2023-09-02,17.2
2023-09-03,16.0
2023-09-04,15.4
2023-09-05,13.8
2023-09-06,11.4
2023-09-07,9.4
2023-09-08,10.4
2023-09-09,11.0
2023-09-10,12.6
2023-09-11,15.2
2023-09-12,18.6
2023-09-13,20.8
2023-09-14,21.4
2023-09-15,20.4
2023-09-16,17.6
2023-09-17,15.0
2023-09-18,13.0
2023-09-19,11.8
2023-09-20,11.8
2023-09-21,12.8
2023-09-22,14.2
2023-09-23,14.6
2023-09-24,15.2
2023-09-25,13.2
2023-09-26,12.6
2023-09-27,11.6
2023-09-28,12.0
2023-09-29,11.6
2023-09-30,12.8
2023-10-01,12.0
2023-10-02,11.2
2023-10-03,11.6
2023-10-04,12.4
2023-10-05,14.2
2023-10-06,17.4
2023-10-07,18.6
2023-10-08,18.4
2023-10-09,18.6
2023-10-10,19.0
2023-10-11,19.4
2023-10-12,20.6
2023-10-13,19.2
2023-10-14,16.4
2023-10-15,13.6
2023-10-16,11.2
2023-10-17,11.4
2023-10-18,13.6
2023-10-19,16.4
2023-10-20,19.0
2023-10-21,20.6
2023-10-22,18.0
2023-10-23,14.6
2023-10-24,13.6
2023-10-25,13.4
2023-10-26,14.0
2023-10-27,14.8
2023-10-28,16.0
2023-10-29,15.2
2023-10-30,12.6
2023-10-31,9.2
2023-11-01,8.2
2023-11-02,7.6
2023-11-03,8.0
2023-11-04,7.4
2023-11-05,7.2
2023-11-06,6.4
2023-11-07,5.4
2023-11-08,3.4
2023-11-09,4.6
2023-11-10,7.2
2023-11-11,8.6
2023-11-12,9.4
2023-11-13,10.0
2023-11-14,9.6
2023-11-15,9.0
2023-11-16,10.0
2023-11-17,10.6
2023-11-18,12.8
2023-11-19,15.2
2023-11-20,16.4
2023-11-21,16.2
2023-11-22,18.0
2023-11-23,18.4
2023-11-24,17.0
2023-11-25,14.6
2023-11-26,13.4
2023-11-27,12.2
2023-11-28,12.0
2023-11-29,13.2
2023-11-30,15.6
2023-12-01,16.0
2023-12-02,16.0
2023-12-03,14.2
2023-12-04,14.0
2023-12-05,14.2
2023-12-06,16.2
2023-12-07,16.8
2023-12-08,16.4
2023-12-09,13.2
2023-12-10,9.6
2023-12-11,7.0
2023-12-12,6.8
2023-12-13,8.2
2023-12-14,10.6
2023-12-15,13.4
2023-12-16,14.2
2023-12-17,12.6
2023-12-18,13.4
2023-12-19,14.8
2023-12-20,15.4
2023-12-21,16.4
2023-12-22,16.8
2023-12-23,14.4
2023-12-24,10.6
2023-12-25,8.0
2023-12-26,5.4
2023-12-27,5.8
2023-12-28,5.8
