timestamp,Momentum_20
2023-11-16 16:00:00,0.0
2023-11-19 16:00:00,1.0
2023-11-22 16:00:00,1.0
2023-11-25 16:00:00,1.0
2023-11-28 16:00:00,1.0
2023-12-01 16:00:00,1.0
2023-12-04 16:00:00,1.0
2023-12-07 16:00:00,1.0
2023-12-10 16:00:00,1.0
2023-12-13 16:00:00,0.0
2023-12-16 16:00:00,1.0
2023-12-19 16:00:00,0.0
2023-12-22 16:00:00,1.0
2023-12-25 16:00:00,0.0
