timestamp,totalCirculatingUSD
2021-07-02,62867304022
2021-07-03,63097998785
2021-07-04,62976210905
2021-07-05,61950092497
2021-07-06,63035970991
2021-07-07,62831570441
2021-07-08,62489939152
2021-07-09,62818585928
2021-07-10,62806447336
2021-07-11,62896499699
2021-07-12,62507311613
2021-07-13,62694192572
2021-07-14,62883799620
2021-07-15,62473711903
2021-07-16,62590251633
2021-07-17,62096593805
2021-07-18,62387158566
2021-07-19,62708628940
2021-07-20,62425290225
2021-07-21,62300830480
2021-07-22,62429158871
2021-07-23,62227283240
2021-07-24,62239861018
2021-07-25,62293560257
2021-07-26,62214309621
2021-07-27,62588951686
2021-07-28,62503538466
2021-07-29,61676379981
2021-07-30,62325451426
2021-07-31,62250404980
2021-08-01,61991958446
2021-08-02,62483056034
2021-08-03,62301914372
2021-08-04,62836162356
2021-08-05,61623835820
2021-08-06,62255097346
2021-08-07,62393110690
2021-08-08,62372231255
2021-08-09,62625097626
2021-08-10,62849532383
2021-08-11,62640086076
2021-08-12,63038626861
2021-08-13,63340195620
2021-08-14,63143592957
2021-08-15,63513901496
2021-08-16,63759596158
2021-08-17,63937261841
2021-08-18,64489591362
2021-08-19,64546808592
2021-08-20,65040976809
2021-08-21,64826373396
2021-08-22,65062359702
2021-08-23,65690167126
2021-08-24,65170459070
2021-08-25,65575429059
2021-08-26,65866552767
2021-08-27,65427749144
2021-08-28,66024263475
2021-08-29,65955942015
2021-08-30,65950472602
2021-08-31,65855816916
2021-09-01,66266354140
2021-09-02,66123544218
2021-09-03,66062624291
2021-09-04,66730035258
2021-09-05,66778170178
2021-09-06,67228499319
2021-09-07,67903500886
2021-09-08,68184094814
2021-09-09,69684185964
2021-09-10,69703676974
2021-09-11,69081096174
2021-09-12,69425108014
2021-09-13,70800211304
2021-09-14,69652244315
2021-09-15,69753426471
2021-09-16,69479594351
2021-09-17,69643498537
2021-09-18,69941343681
2021-09-19,69663266574
2021-09-20,69848668132
2021-09-21,69538476426
2021-09-22,68543490649
2021-09-23,69594569833
2021-09-24,69615920997
2021-09-25,69912382384
2021-09-26,69890392747
2021-09-27,69933851143
2021-09-28,68807886691
2021-09-29,69121079443
2021-09-30,69822155273
2021-10-01,69656553878
2021-10-02,69225845065
2021-10-03,69274392179
2021-10-04,69264460391
2021-10-05,69282221336
2021-10-06,69199180756
2021-10-07,68955045729
2021-10-08,69290558719
2021-10-09,69404405336
2021-10-10,69400603293
2021-10-11,69370965697
2021-10-12,69993843399
2021-10-13,69825068087
2021-10-14,69998620735
2021-10-15,69703575350
2021-10-16,69649532671
2021-10-17,70342594550
2021-10-18,70116207186
2021-10-19,70101000413
2021-10-20,70207100409
2021-10-21,70101972340
2021-10-22,70308266231
2021-10-23,70985309518
2021-10-24,71156413504
2021-10-25,71016596949
2021-10-26,71106218837
2021-10-27,70930271896
2021-10-28,71031350874
2021-10-29,71240827429
2021-10-30,71453740694
2021-10-31,71592501390
2021-11-01,71151106006
2021-11-02,71343989792
2021-11-03,71675626811
2021-11-04,72138348989
2021-11-05,72667846010
2021-11-06,73373158689
2021-11-07,73245459836
2021-11-08,74146540725
2021-11-09,74814400683
2021-11-10,74866137956
2021-11-11,75453316594
2021-11-12,75005773739
2021-11-13,75396936892
2021-11-14,75356712423
2021-11-15,75694851198
2021-11-16,74983334420
2021-11-17,74756874546
2021-11-18,75510814038
2021-11-19,75026398216
2021-11-20,74833172845
2021-11-21,74744139921
2021-11-22,74514891547
2021-11-23,73944928320
2021-11-24,73601617088
2021-11-25,73521803149
2021-11-26,73213226699
2021-11-27,73765755990
2021-11-28,74027458396
2021-11-29,73926913074
2021-11-30,74226709927
2021-12-01,74140687485
2021-12-02,75061046825
2021-12-03,74706842540
2021-12-04,75207273422
2021-12-05,75268359324
2021-12-06,76710772023
2021-12-07,76477534132
2021-12-08,77503393274
2021-12-09,77327940869
2021-12-10,77007636370
2021-12-11,76589371223
2021-12-12,77203492009
2021-12-13,77315240613
2021-12-14,77072384175
2021-12-15,77621532543
2021-12-16,77693695882
2021-12-17,76990393274
2021-12-18,77180613783
2021-12-19,77302166682
2021-12-20,77106216976
2021-12-21,78073078092
2021-12-22,77724617680
2021-12-23,77558355094
2021-12-24,77696182521
2021-12-25,78110870912
2021-12-26,78173529768
2021-12-27,78284615079
2021-12-28,78080158291
2021-12-29,78221493637
2021-12-30,78249704094
2021-12-31,78546396905
2022-01-01,78285795057
2022-01-02,79221440895
2022-01-03,78519284091
2022-01-04,78463706371
2022-01-05,78399020670
2022-01-06,79010451803
2022-01-07,78731693917
2022-01-08,78662917120
2022-01-09,78115986493
2022-01-10,78013315604
2022-01-11,78567706013
2022-01-12,78587933730
2022-01-13,78558341157
2022-01-14,78314622138
2022-01-15,78534580154
2022-01-16,78306182759
2022-01-17,78447166988
2022-01-18,78610157322
2022-01-19,78385189731
2022-01-20,78299194807
2022-01-21,78288450521
2022-01-22,78087291157
2022-01-23,78645401451
2022-01-24,78308599642
2022-01-25,79081112160
2022-01-26,78381038515
2022-01-27,78881207485
2022-01-28,79272790832
2022-01-29,78392905111
2022-01-30,78614214636
2022-01-31,78344633253
2022-02-01,78189041987
2022-02-02,78129638659
2022-02-03,78189170812
2022-02-04,78173472467
2022-02-05,78494856290
2022-02-06,78098419342
2022-02-07,78191012280
2022-02-08,78198022610
2022-02-09,78153756696
2022-02-10,78104522393
2022-02-11,78645367858
2022-02-12,78671184184
2022-02-13,78688251091
2022-02-14,78727491533
2022-02-15,78649751658
2022-02-16,78588216526
2022-02-17,78792364015
2022-02-18,78856527589
2022-02-19,78760444315
2022-02-20,79323933939
2022-02-21,79245888320
2022-02-22,79543397991
2022-02-23,79340029396
2022-02-24,79785993458
2022-02-25,79723619291
2022-02-26,79671989976
2022-02-27,79876330282
2022-02-28,80056936322
2022-03-01,79546229975
2022-03-02,79377169750
2022-03-03,79952581892
2022-03-04,79681343752
2022-03-05,79967015588
2022-03-06,79992861379
2022-03-07,80167859615
2022-03-08,79901321802
2022-03-09,80083940400
2022-03-10,80059723281
2022-03-11,80121412741
2022-03-12,80098386875
2022-03-13,80113754857
2022-03-14,80186381180
2022-03-15,80048684548
2022-03-16,80084070240
2022-03-17,80154613074
2022-03-18,80253502143
